~$6,,~$8,,~$36,,
,,,,$39.0,8395460,
,,,,$39.0,8395455,
,,,,$39.0,8395455,
,,,,$39.0,8395460,
,,,,$39.0,8395460,
,,,,$39.0,8395630,
,,,,$39.0,8395455,
,,,,$39.0,8401857,
,,,,$39.0,8401178,
,,,,$39.0,8401873,
,,,,$39.0,8401869,
,,,,$39.0,8401870,
,,,,$39.0,8401862,
,,,,$39.0,8401867,
,,,,$39.0,8401918,
,,,,$39.0,8405351,
,,,,$39.0,8401861,
,,,,$39.0,8406110,
,,,,$39.0,8405351,
,,,,$39.0,8406108,
,,,,$39.0,8415194,
,,,,$39.0,8369130,
,,,,$39.0,8369130,
,,,,$39.0,8417316,
,,,,$39.0,8418389,
,,,,$39.0,8418389,
,,,,$39.0,8420898,
,,,,$39.0,8420898,
,,,,$39.0,8355272,
,,,,$39.0,8355272,
,,,,$39.0,8420898,
,,,,$39.0,8355272,
,,,,$39.0,8355272,
,,,,$39.0,8420898,
,,,,$39.0,8429034,
,,,,$39.0,8429459,
,,,,$39.0,8429589,
,,,,$39.0,8078716,
,,,,$39.0,8432293,
,,,,$39.0,8436052,
,,,,$39.0,8438122,
,,,,$39.0,8438223,
,,,,$39.0,8400109,
,,,,$39.0,8400109,
,,,,$39.0,8444193,
,,,,$39.0,8443695,
,,,,$39.0,8445318,
,,,,$39.0,8443692,
,,,,$39.0,8443595,
,,,,$39.0,8268725,
,,,,$39.0,8443698,
,,,,$39.0,8443592,
,,,,$39.0,8443699,
,,,,$39.0,8445318,
,,,,$39.0,8268725,
,,,,$39.0,8314112,
,,,,$39.0,8055622,
,,,,$39.0,8055594,
,,,,$39.0,7992129,
,,,,$39.0,7992126,
,,,,$39.0,7992125,
,,,,$39.0,7997576,
,,,,$39.0,7992123,
,,,,$39.0,7992128,
,,,,$39.0,7909884,
,,,,$39.0,7992155,
,,,,$39.0,7997576,
,,,,$39.0,7997576,
,,,,$39.0,7997576,
,,,,$39.0,7997576,
,,,,$39.0,7997576,
,,,,$39.0,7997576,
,,,,$39.0,7997576,
,,,,$39.0,7895516,
,,,,$39.0,8044354,
,,,,$39.0,8026145,
,,,,$39.0,8029014,
,,,,$39.0,8029131,
,,,,$39.0,8033189,
,,,,$39.0,8037255,
,,,,$39.0,7467370,
,,,,$39.0,7467370,
,,,,$39.0,8042233,
,,,,$39.0,8042233,
,,,,$39.0,8044369,
,,,,$39.0,8044368,
,,,,$39.0,7865418,
,,,,$39.0,8054421,
